structure,date
4o26_E,20131216
6s8b_V,20190709
4zc7_A,20150415
6zdu_C,20200615
3jcs_5,20160121
2agn_C,20050727
5m0h_A,20161005
2jxv_A,20071130
5b2p_B,20160201
1h1k_I,20020717
2noq_B,20061026
6zj3_LD,20200627
2m57_A,20130215
4lck_F,20130621
1zc5_A,20050411
7cxm_J,20200902
6zj3_LG,20200627
6nue_H,20190131
7kub_A,20201124
4pmi_A,20140521
1ysh_F,20050208
6z9t_R,20200604
2jyf_A,20071213
6gmh_P,20180526
6c63_A,20180117
2vpl_B,20080301
5b2t_A,20160202
7qqx_A,20220110
4qjh_F,20140603
8b6z_B,20220927
4v5z_AB,20080327
6lsh_B,20200117
1h1k_K,20020717
7rex_A,20210713
7bhp_B,20210111
6zqa_D2,20200709
1ymo_A,20050121
1am0_A,19970619
2nby_A,20160316
2m58_A,20130218
3id5_H,20090720
6d12_C,20180411
5wti_B,20161213
7uo7_T,20220412
1i6u_C,20010305
1g70_A,20001108
2bh2_D,20050106
7wv5_E,20220209
3hhn_E,20090515
1rmn_A,19941020
7uob_T,20220412
3ktw_C,20091126
7nt6_Z,20210309
2ozb_C,20070226
1e8o_E,20000928
7rwr_A,20210820
3hax_E,20090503
6xjq_A,20200624
1s03_B,20031229
5ztm_C,20180504
1b36_A,19981217
1a60_A,19980304
7a5p_Y,20200821
7ctt_T,20200820
4pdb_I,20140417
7tj2_G,20220114
4pjo_1,20140512
2mqt_A,20140626
5h0r_H,20161006
7v01_U,20220509
2mqv_B,20140627
6e8t_D,20180731
6lnb_M,20191228
2kzl_A,20100618
3nkb_B,20100618
1u63_D,20040729
3jcs_6,20160121
3izd_A,20101013
1mvr_A,20020926
4m6d_H,20130809
4v5z_BF,20080327
8a22_B4,20220602
7xht_B,20220410
7c7l_C,20200526
3am1_B,20100811
1qzc_A,20030916
7pwg_4,20211006
6x5m_r,20200526
5xwy_B,20170630
7szu_R,20211129
6vu1_A,20200214
7pkt_1,20210826
7eu0_O,20210515
3j0l_1,20111004
5f8j_B,20151209
6ifk_N,20180920
5tzs_2,20161122
6e8u_B,20180731
2au4_A,20050826
7umd_A,20220406
6u8d_A,20190904
3izz_A,20110120
2l2k_A,20100820
6xmf_C,20200630
6aay_B,20180719
6zj3_LL,20200627
1m5l_A,20020709
7qgh_x,20211208
5dea_C,20150825
